ZScore	DIST
0.712886254	1
1.395860767	0
1.910262147	0
1.943875086	0
2.201369773	0
1.794393968	0
2.695265943	0
3.106596027	0
3.068023454	0
2.133729183	0
2.158396835	0
4.216682158	0
4.310440982	0
4.825334294	0
4.666432485	0
5.05638483	0
5.599596827	0
6.18527065	0
6.30037291	0
6.578663159	0
59.57119985	0
6.121969361	0
0.879359067	1
1.266210976	0
1.16294261	0
1.453901272	0
0.826107605	1
1.200188881	0
0.653466022	1
0.977547486	1
3.0951593	0
3.506225164	0
4.087092593	0
2.499059683	0
4.063401429	0
3.731194352	0
4.474662164	0
4.015204703	0
4.402010242	0
5.873696822	0
5.374425228	0
5.168988013	0
5.146878983	0
4.832474232	0
5.035768716	0
5.039496	0
2.691129399	0
3.646543054	0
3.269413275	0
3.600197977	0
1.692130815	0
1.645868973	0
1.059344218	1
-0.649786852	1
-0.83546767	1
6.360644922	0
6.311851752	0
5.601651584	0
5.762438571	0
5.41520216	0
5.153349136	0
2.460037329	0
3.059562594	0
2.385078284	0
0.257584501	1
0.453588237	1
4.360987119	0
2.19884138	0
3.028550399	0
4.497088543	0
3.314583414	0
3.489696982	0
3.69318724	0
3.151935615	0
2.713471524	0
2.723700921	0
2.994447364	0
1.594988812	0
1.595692658	0
1.658827417	0
1.616842566	0
1.991686598	0
2.393422058	0
3.088995633	0
1.754747665	0
1.232381722	0
-2.395202757	1
-1.740736109	1
-2.034089816	1
-1.027655583	1
-0.18453187	1
-0.406174201	1
-0.817752487	1
-1.360722669	1
0.524740993	1
0.85500587	1
1.938483206	0
2.294206257	0
5.81483389	0
6.351242825	0
6.983432627	0
7.356729557	0
6.593124794	0
6.913579839	0
7.67712684	0
7.101166057	0
7.108329137	0
7.569573698	0
7.027433354	0
2.979350209	0
3.067858824	0
2.537103517	0
2.267088298	0
2.643476584	0
2.99901234	0
1.367100108	0
1.874766642	0
1.402444119	0
1.583225868	0
2.086169942	0
3.495705275	0
3.40218434	0
3.066974001	0
3.431469712	0
4.216957375	0
3.776300795	0
4.606898196	0
2.91178712	0
1.879634778	0
1.260782927	0
-1.129101217	1
3.382813753	0
2.788065228	0
4.016150595	0
4.117904363	0
3.763310727	0
4.248124682	0
4.529153059	0
4.638945086	0
0.168201906	1
2.471349079	0
3.160020338	0
1.570388107	0
0.937319058	1
1.079853996	1
0.733068402	1
-0.225015883	1
-1.907025816	1
0.279853479	1
0.514498024	1
0.940401036	1
-0.429577297	1
1.814928195	0
4.050002543	0
4.253214903	0
4.86869897	0
5.510140034	0
4.676304815	0
4.43611284	0
5.139016777	0
4.339802543	0
4.266110083	0
3.767244514	0
3.334743751	0
2.433559377	0
2.769457225	0
2.710753923	0
2.227943795	0
2.307209006	0
2.020234683	0
2.482576761	0
2.67847222	0
2.700284941	0
2.111200796	0
2.964902115	0
-1.471238214	1
1.737495857	0
2.614017914	0
0.324127156	1
0.694673526	1
0.828917167	1
3.07176942	0
4.797782706	0
5.484405371	0
7.166459791	0
5.857884047	0
7.36763174	0
8.023913371	0
6.812972188	0
7.635512922	0
8.270702565	0
7.161538044	0
5.304080131	0
4.776309111	0
4.26330937	0
5.500255425	0
6.885396874	0
7.445123133	0
6.81639088	0
5.778267658	0
5.010867662	0
4.04244538	0
3.894289312	0
4.483320925	0
3.481280145	0
2.155565629	0
2.212218829	0
3.160363512	0
2.819369732	0
3.873876354	0
3.782585457	0
2.941444474	0
3.436739516	0
3.013168037	0
3.475642069	0
-0.31300027	1
-0.445754253	1
-0.514008983	1
-0.863179332	1
-0.715433635	1
-0.155758409	1
0.486925101	1
0.612282537	1
1.127137238	0
5.523760227	0
4.925888439	0
5.381200411	0
6.049781196	0
6.033432682	0
6.075506573	0
4.413786791	0
4.430351953	0
4.047639349	0
4.813948663	0
4.479134349	0
3.900264689	0
3.957663429	0
4.085057648	0
3.527526778	0
3.542400416	0
3.683398944	0
3.679532396	0
3.217181487	0
3.425583111	0
3.815479531	0
4.111698705	0
3.485014104	0
1.636032689	0
2.04725385	0
2.494335509	0
1.765728115	0
2.626340108	0
3.125243428	0
3.093881036	0
3.160626935	0
2.97776254	0
2.555614916	0
8.420900456	0
7.400149076	0
7.987700265	0
7.494851505	0
7.80116773	0
7.835621799	0
8.200077087	0
6.099261263	0
10.60819954	0
10.27043567	0
8.070641582	0
7.648581811	0
5.353017192	0
3.795374159	0
3.281149207	0
3.222390203	0
2.935368188	0
3.30959507	0
3.772688969	0
3.710109323	0
4.373256488	0
5.030205332	0
4.761568692	0
4.18929763	0
4.132530174	0
3.755563747	0
4.146115919	0
4.003671671	0
4.406809545	0
3.17096623	0
3.357077003	0
2.999670559	0
3.416573503	0
3.915674568	0
3.858512211	0
3.009757002	0
3.283947413	0
3.791967875	0
4.12051838	0
2.096316857	0
2.124919879	0
1.903060072	0
1.742155669	0
2.203623579	0
3.163125067	0
3.370517797	0
2.666362738	0
2.835657926	0
3.437566589	0
3.829169288	0
3.071790857	0
0.90868093	1
2.562073309	0
2.832183112	0
2.795396859	0
3.549514655	0
2.708874444	0
1.746895962	0
1.475202761	0
1.459968313	0
1.109425913	0
2.940835057	0
2.523988405	0
2.695510771	0
3.234125064	0
4.113964553	0
4.030739749	0
4.181210037	0
4.43453661	0
4.893993953	0
5.182563943	0
5.69119721	0
2.405410178	0
1.797895173	0
2.309888421	0
2.346531214	0
2.386095602	0
3.480708556	0
3.700798748	0
4.142719721	0
2.948766581	0
3.139952102	0
3.272577263	0
3.912979404	0
4.167325757	0
4.125849703	0
4.134541488	0
4.193025273	0
3.612961374	0
3.455656695	0
4.021350278	0
3.89709598	0
3.60758827	0
4.042914735	0
2.286904159	0
1.424197375	0
1.878300761	0
2.065368938	0
2.120477753	0
2.883677036	0
2.102679567	0
1.558319512	0
1.813391155	0
1.927415448	0
2.164167738	0
3.297457278	0
3.519218116	0
3.343411909	0
3.749771914	0
3.946043766	0
3.719186527	0
3.614955739	0
3.086676738	0
3.360218415	0
3.269979403	0
2.873589643	0
2.533591168	0
2.463737702	0
2.42592447	0
1.528290505	0
1.843645185	0
0.897830221	1
0.694595164	1
0.842052568	1
1.61957525	0
1.863096272	0
1.597089364	0
1.381781519	0
1.148390593	0
1.858616897	0
4.671863563	0
4.745516543	0
2.71527258	0
2.465949987	0
2.726339197	0
3.362666365	0
4.37822188	0
2.941419266	0
3.042681899	0
3.599852722	0
3.644101242	0
4.970858252	0
2.924683896	0
2.31243768	0
1.70971229	0
1.558338697	0
0.618537575	1
-0.023331978	1
-0.816596804	1
-0.236521004	1
-0.348159696	1
-0.054408091	1
3.96322154	0
3.933984915	0
3.442524013	0
3.39937588	0
3.220607708	0
4.164742624	0
4.189910743	0
4.187414119	0
4.564034034	0
4.822067726	0
5.27061648	0
6.154705141	0
5.282814438	0
5.471260466	0
4.840935705	0
4.534316928	0
6.001560324	0
5.935682808	0
6.108987533	0
5.962591117	0
6.750367512	0
6.833209876	0
6.118644314	0
6.386549677	0
6.206970099	0
6.165482536	0
5.002092532	0
4.996323478	0
4.758341363	0
4.02310361	0
4.705019642	0
4.310236932	0
3.760417182	0
3.336000551	0
2.939810147	0
2.948685036	0
4.432870336	0
4.568162749	0
3.919536349	0
4.406446677	0
5.292381691	0
4.457987622	0
0.603802252	1
2.490378291	0
4.391200147	0
2.916462162	0
2.8831235	0
4.58198231	0
3.630490897	0
3.529932572	0
3.207837564	0
3.144032374	0
3.09090562	0
1.572389732	0
2.435364044	0
1.181275017	0
0.998199317	1
1.364602901	0
2.081907135	0
2.104125555	0
2.243218855	0
6.10103706	0
5.28182795	0
4.855770036	0
2.617611004	0
3.410432365	0
3.689236998	0
3.187292345	0
3.314634593	0
3.558007303	0
3.690839003	0
3.890207747	0
4.31656821	0
4.436407836	0
3.954484244	0
1.651560337	0
2.971034368	0
3.467226322	0
2.37597565	0
2.617840994	0
2.766989142	0
2.672660399	0
2.790731875	0
2.850416505	0
2.598761864	0
2.634844161	0
1.523855109	0
2.593532838	0
2.6826711	0
2.467544397	0
3.054598675	0
3.136951009	0
2.779770092	0
2.302108927	0
2.14741033	0
2.272603439	0
2.959018104	0
1.677474099	0
1.964526143	0
2.326899936	0
1.827526492	0
1.908818229	0
2.281437508	0
1.710166932	0
3.660488919	0
4.02876882	0
4.1671372	0
3.676374719	0
0.738730322	1
-0.399438103	1
-1.157970035	1
-1.068617623	1
-1.305843457	1
-2.084039308	1
-3.760657907	1
-3.901404434	1
-3.536481215	1
-4.563110001	1
-4.045855556	1
2.777322556	0
3.414752035	0
3.654249324	0
3.777275857	0
4.394104993	0
4.55236998	0
4.105207795	0
3.931934199	0
3.966073858	0
4.391995648	0
4.288808392	0
2.885441046	0
2.516987362	0
3.272708394	0
3.150688959	0
3.479619757	0
2.064538013	0
2.867745331	0
2.786917807	0
2.394352594	0
2.763612659	0
3.078147012	0
-0.420227218	1
-0.054354783	1
0.983891427	1
1.209657161	0
1.306787094	0
1.372933201	0
0.965505392	1
0.768356673	1
-0.421716477	1
-0.298445901	1
-0.155204352	1
1.659809599	0
3.261337542	0
3.561885447	0
2.363473495	0
2.025475101	0
0.161433239	1
-0.624229227	1
-1.395747858	1
-1.876982545	1
1.895820682	0
1.881783817	0
-1.643676695	1
1.477782119	0
-1.434512539	1
-1.109867161	1
-1.250946616	1
-1.532516143	1
-1.247067839	1
-2.664656354	1
-2.337611171	1
-3.075154398	1
-5.107849651	1
1.889866747	0
2.312266809	0
1.215156833	0
1.868147893	0
2.012414859	0
1.835721866	0
2.043450757	0
2.075674237	0
3.219233821	0
1.153867422	0
2.328767052	0
3.891969404	0
3.99223931	0
3.64868152	0
2.589213801	0
1.481805053	0
1.673241803	0
2.070550095	0
1.406485517	0
1.234983475	0
0.632879147	1
2.048090932	0
3.828513117	0
4.440647487	0
4.696723004	0
4.254974366	0
4.454036382	0
5.487657026	0
4.906949105	0
4.476359111	0
5.224539845	0
